	sequences per sample	iteration	FN33	FN47	FN46	FN55	FN57	FN32	FN31	FN34	FN36	FN37	FN39	FN59	FN35	FN51	FN50	FN48	FN42	FN41	FN40	FN44	FN43	FN38	FN45	FN49	FN53	FN56	FN54	FN52	FN58	FN60
alpha_rarefaction_118060_9.txt	118060	9	23.79292	21.87231	25.08968	26.6326	23.7676	25.88622	24.50129	25.63012	23.04999	24.61616	22.94232	31.35407	17.18711	24.71054	21.41928	28.46678	24.04909	31.58461	27.97891	28.51799	26.86809	20.62596	30.42531	19.99716	18.4253	26.89487	22.52508	33.23926	27.96078	18.43079
alpha_rarefaction_157410_0.txt	157410	0	25.29536	22.03185	25.3327	28.71709	24.89136	26.30199	25.36336	26.28054	24.62283	26.98844	23.78572	32.44928	18.23977	26.17728	21.94945	28.82726	25.20472	32.76854	28.91419	28.80365	27.09975	20.91119	30.21052	21.44848	19.3498	27.99527	23.25128	33.51987	29.15261	19.17974
alpha_rarefaction_157410_1.txt	157410	1	25.70288	22.45871	25.22921	28.03172	23.72018	26.62193	25.54338	26.05537	23.52926	25.52638	23.68977	33.24157	17.59692	26.31368	21.74923	30.42393	25.03476	32.65669	28.69755	28.47469	27.85964	21.3219	30.59418	20.93005	19.41623	27.07256	22.98808	33.51156	28.50367	18.93719
alpha_rarefaction_157410_2.txt	157410	2	24.86703	21.82789	25.77488	29.70077	24.45712	26.23051	25.65553	25.34067	22.93589	27.22082	23.13777	32.22475	17.69588	26.07895	21.77823	29.04087	24.39934	31.60633	28.67246	28.47331	28.53947	21.30206	30.50931	20.02411	19.8143	27.79824	23.13347	33.63049	28.01163	19.61168
alpha_rarefaction_157410_3.txt	157410	3	24.25563	22.69732	25.41587	28.07261	24.27153	26.31325	25.58645	26.07535	24.07954	26.60546	22.85762	32.78691	18.54537	26.44339	21.06701	29.54432	24.69511	32.4901	28.60924	29.18274	27.37331	21.21801	30.39176	20.42831	19.36237	27.70267	22.06798	33.21752	27.84642	19.73873
alpha_rarefaction_157410_4.txt	157410	4	25.07001	22.28935	25.75373	29.24259	24.50514	26.59671	24.97527	25.83012	24.30607	26.59961	23.71725	31.67298	18.07415	26.63255	21.34626	29.4852	24.92037	32.32966	28.689	29.16365	27.62805	21.45752	30.69171	21.75703	20.46247	27.88124	22.69809	34.86729	27.47994	19.11212
alpha_rarefaction_157410_5.txt	157410	5	24.31302	22.43382	25.29635	30.09101	24.58049	26.31785	25.2918	26.20041	23.71832	26.48157	24.19542	32.43553	18.86857	26.03158	21.57222	29.79102	24.66066	32.86169	28.55228	29.04004	28.72704	21.42444	30.27947	20.9604	19.76987	27.81369	23.04806	33.08082	28.4321	19.6109
alpha_rarefaction_157410_6.txt	157410	6	25.51537	21.94386	25.83333	28.07243	24.31222	26.40537	25.61358	25.53917	24.67331	26.91528	23.46707	32.61682	17.84801	26.32725	21.40172	29.55909	25.64067	31.40662	28.30723	29.37133	28.70719	21.34215	30.80881	21.11288	19.16156	27.32731	22.20007	34.10869	29.3561	19.41166
alpha_rarefaction_157410_7.txt	157410	7	24.94673	22.51748	25.72277	29.37387	23.72792	26.37888	24.94606	25.0439	25.27889	26.96471	23.68172	32.90733	18.23037	25.92297	21.22875	29.86881	24.9093	32.40047	27.87813	28.96897	27.71612	21.57126	30.20209	20.68218	20.09776	26.93518	22.2934	33.55035	27.38474	18.99953
alpha_rarefaction_157410_8.txt	157410	8	24.5848	22.2403	25.15165	29.41499	24.22667	26.47276	24.77356	26.07044	24.32077	26.97483	23.07478	33.59577	17.96337	26.38855	21.29637	29.37678	25.46612	31.56472	28.07965	28.812	26.87752	21.36323	30.54501	20.7233	20.02713	27.37628	23.40782	33.58107	28.00022	19.34976
alpha_rarefaction_157410_9.txt	157410	9	25.48755	22.31219	25.29302	29.63153	24.25868	26.86095	25.20865	25.90266	24.07625	26.16974	23.47349	32.36368	18.38104	25.59396	20.8228	29.28917	24.63661	31.84308	28.51131	29.05371	27.9119	21.41639	30.89802	20.95758	19.47896	26.89435	22.21505	33.30806	29.16215	18.79262
alpha_rarefaction_196760_0.txt	196760	0	25.4241	22.9596	26.94555	30.4299	25.57296	26.64901	25.70092	26.2802	24.45457	28.15775	23.06824	33.33017	19.18722	26.42905	22.20238	30.76632	25.55321	33.04604	28.48662	29.80888	28.26046	21.39746	31.52608	20.7653	20.47429	28.05549	23.36063	34.46115	29.01282	19.67272
alpha_rarefaction_196760_1.txt	196760	1	25.97505	22.58078	26.36751	29.65316	24.86053	26.6155	26.13432	26.2476	24.66971	27.01278	23.5116	33.07221	18.68883	27.04759	21.85874	29.91899	25.48446	33.33378	30.15074	28.5538	28.2244	21.54255	31.20939	20.32355	19.61822	28.49355	22.64218	33.49202	29.42631	20.57748
alpha_rarefaction_196760_2.txt	196760	2	24.88214	23.02936	26.95576	29.70166	24.75073	26.84598	25.79279	26.45633	24.30763	27.07265	23.71946	32.51581	18.78321	26.5362	21.38586	30.16871	25.26162	32.94649	29.02896	28.88624	27.80768	21.76971	30.79254	21.25115	19.92966	27.81798	24.26224	34.93519	29.36775	19.42297
alpha_rarefaction_196760_3.txt	196760	3	26.03978	22.97742	26.28273	31.12266	25.30632	26.55741	25.13707	26.26704	24.37982	27.51294	23.68135	32.70281	19.20478	26.29784	23.23125	29.46943	25.25791	32.86739	29.32507	30.09828	28.16962	21.65734	31.18698	21.28967	20.0813	28.81863	23.75216	34.21418	29.02728	20.2327
alpha_rarefaction_196760_4.txt	196760	4	25.80356	22.21338	26.55748	29.88694	24.82136	26.48702	25.62367	25.9715	24.63819	27.2121	23.73052	33.67783	18.77016	26.22465	22.92321	29.82012	25.30462	33.03041	29.07089	28.72251	28.70426	21.81952	31.35958	21.31309	19.51819	28.27671	23.90328	34.59521	29.35397	20.42994
alpha_rarefaction_196760_5.txt	196760	5	25.55648	22.77427	26.1634	30.08924	24.34284	26.70501	25.99385	26.0648	25.20769	27.66871	24.29675	32.64236	18.66439	26.89925	21.74253	30.01483	26.1297	32.84122	29.18095	29.33103	28.63243	21.9973	30.97709	21.13206	20.39806	28.48313	23.55924	34.4434	28.86904	20.29325
alpha_rarefaction_196760_6.txt	196760	6	25.77276	23.23077	26.44871	29.69672	25.4783	26.37208	24.84014	27.28003	24.87239	27.39034	23.78324	32.78823	19.3253	27.00503	22.78051	29.92486	25.43058	32.90472	28.79719	29.32581	27.99486	21.84402	30.65404	21.20738	19.94355	28.55254	23.58601	35.40056	27.93565	20.72859
alpha_rarefaction_196760_7.txt	196760	7	25.19838	22.6065	26.50473	30.14832	24.40407	26.95368	26.19346	26.37694	24.96415	27.55489	23.37084	34.20013	17.67152	26.75835	21.9493	30.17345	25.25589	32.90042	28.95551	29.58844	28.66788	21.23425	30.60234	20.69173	19.62606	27.56506	23.81021	34.28562	29.23665	20.45306
alpha_rarefaction_196760_8.txt	196760	8	25.21396	22.46488	25.95376	28.96507	25.20579	26.89266	24.49781	26.56284	24.62116	27.22633	23.81884	33.31116	19.51823	26.98608	21.99494	29.63861	25.65572	32.9893	29.02931	29.49265	28.06689	21.44599	30.50395	21.75539	19.87094	27.56266	23.04569	33.6121	28.23887	20.28865
alpha_rarefaction_196760_9.txt	196760	9	24.97739	22.85968	26.54053	30.02916	25.2058	26.62198	25.80686	26.86516	24.88362	27.90174	23.84345	33.22822	19.63722	26.6278	22.80058	30.47255	25.95854	32.9225	28.65946	29.31621	28.50757	21.69206	31.16983	21.0918	18.54968	27.278	23.54645	34.09884	29.25156	19.55139
alpha_rarefaction_236110_0.txt	236110	0	27.38827	23.09568	27.18449	30.74717	25.36581	27.55229	25.84728	26.8242	25.12893	28.85564	24.32291	33.99462	20.32052	27.57911	22.89384	30.92046	26.23332	33.30711	29.92418	30.04263	29.02392	21.82735	31.436	21.41112	20.42279	28.73159	24.25326	35.50811	30.09906	20.10765
