	sequences per sample	iteration	FN33	FN47	FN46	FN55	FN57	FN32	FN31	FN34	FN36	FN37	FN39	FN59	FN35	FN51	FN50	FN48	FN42	FN41	FN40	FN44	FN43	FN38	FN45	FN49	FN53	FN56	FN54	FN52	FN58	FN60
alpha_rarefaction_196760_6.txt	196760	6	491.404255319	441.037037037	449.125	575.0	449.923076923	539.1875	475.657894737	506.085714286	421.818181818	575.6	474.03125	618.923076923	366.0	471.976744186	395.181818182	549.162790698	454.034482759	675.6	506.333333333	561.0	516.394736842	407.217391304	587.333333333	377.023809524	403.217391304	574.0	482.363636364	638.166666667	507.034482759	396.555555556
alpha_rarefaction_196760_7.txt	196760	7	526.071428571	423.777777778	491.25	575.02173913	472.0	579.785714286	530.088235294	469.346938776	449.081081081	567.552631579	472.8	650.777777778	354.545454545	502.166666667	425.777777778	532.826086957	436.738095238	611.136363636	542.857142857	542.06	524.027777778	371.954545455	581.2	363.219512195	402.181818182	497.724137931	415.176470588	666.837209302	486.076923077	335.636363636
alpha_rarefaction_196760_8.txt	196760	8	554.0	416.035714286	459.0	545.837209302	500.689655172	545.285714286	487.3125	526.129032258	499.125	535.608695652	465.052631579	616.65	416.0	502.617647059	383.777777778	588.75	462.03125	619.4375	514.731707317	530.125	507.535714286	383.576923077	572.028571429	371.384615385	337.333333333	536.166666667	398.142857143	632.307692308	487.325	383.65
alpha_rarefaction_196760_9.txt	196760	9	502.12244898	463.6	474.84375	578.021276596	522.333333333	502.078947368	482.923076923	525.137931034	425.333333333	515.56	471.294117647	625.7	432.142857143	506.617647059	435.5	572.243902439	476.534883721	634.071428571	538.076923077	567.029411765	489.142857143	398.176470588	560.885714286	391.184210526	379.5	526.322580645	422.538461538	651.87804878	517.0	440.0
alpha_rarefaction_236110_0.txt	236110	0	551.125	418.107142857	482.058823529	558.775510204	495.95	556.5	522.0	472.277777778	436.0	623.926829268	475.833333333	607.837837838	362.107142857	516.081081081	411.677419355	595.025641026	469.071428571	613.073170732	547.7	594.025641026	546.166666667	374.71875	600.5	368.45	410.375	562.15	438.162162162	667.5	530.567567568	377.24137931
alpha_rarefaction_236110_1.txt	236110	1	541.488372093	429.6	449.923076923	605.0	472.486486486	536.394736842	562.275862069	497.625	468.0	576.8	485.0	698.885714286	383.181818182	541.736842105	370.357142857	608.294117647	481.30952381	624.82	591.833333333	561.028571429	536.090909091	390.848484848	600.538461538	401.181818182	384.214285714	558.7	459.0625	651.82	494.371428571	381.666666667
alpha_rarefaction_236110_2.txt	236110	2	532.12244898	434.303030303	457.717948718	602.348837209	515.161290323	562.026315789	610.157894737	502.0	442.294117647	620.487179487	491.153846154	644.512195122	346.434782609	479.625	391.171428571	587.848484848	468.418604651	610.352941176	559.25	637.538461538	504.0	357.1	603.333333333	390.775	403.75	543.206896552	429.477272727	660.4375	569.541666667	402.954545455
alpha_rarefaction_236110_3.txt	236110	3	506.97826087	413.035714286	467.7	597.125	508.454545455	551.09375	536.294117647	479.677419355	455.0	540.538461538	477.1	646.375	341.363636364	473.837837838	367.790697674	568.9	477.382978723	593.11627907	569.0	588.027777778	558.777777778	358.935483871	587.103448276	379.875	395.103448276	550.724137931	431.477272727	661.212765957	509.1875	369.933333333
alpha_rarefaction_236110_4.txt	236110	4	518.736842105	452.181818182	503.923076923	570.288461538	494.097560976	565.857142857	557.583333333	492.303030303	408.692307692	570.27027027	507.0	657.15	369.869565217	511.666666667	402.888888889	577.682926829	449.9	614.348837209	559.195652174	581.028571429	502.4	370.965517241	575.108108108	388.885714286	398.714285714	562.026315789	523.533333333	691.608695652	540.5	367.964285714
alpha_rarefaction_236110_5.txt	236110	5	501.895833333	410.933333333	492.285714286	584.571428571	506.088235294	563.0	542.083333333	517.181818182	490.0	577.025	479.823529412	657.636363636	367.384615385	500.097560976	414.8	596.25	462.527777778	592.365384615	526.25	565.032258065	584.5625	396.576923077	573.1	433.833333333	397.12	538.4	449.085714286	652.307692308	539.263157895	328.724137931
